Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Fowler, Hayden	ER	25	8	10	18	0	0	0	1	0.72
Hayes, Avery	HAM	64	7	11	18	2	0	1	0	0.28
Rippon, Merrick	OTT	64	6	12	18	0	0	0	3	0.28
Brewer, Mitchell	OSH	67	4	14	18	1	0	1	0	0.27
Barbosa, Ryan	MISS	62	3	15	18	0	0	0	1	0.29
Ladd, Grayson	WSR	48	2	16	18	0	0	0	0	0.38
Hoffmann, Brendan	ER	64	12	5	17	1	0	0	1	0.27
Harris, Kyle	FLNT	66	8	9	17	0	0	2	0	0.26
Moncada, Luke	NB	68	8	9	17	0	0	0	1	0.25
Lochead, William	LDN	54	6	11	17	0	0	0	1	0.31
Stratis, Peter	SBY	58	6	11	17	2	0	2	0	0.29
Petizian, Mike	KIT	59	6	11	17	0	0	0	1	0.29
Peric, Lucas	OTT	53	3	14	17	0	0	0	0	0.32
Golden, Jacob	ER	63	3	14	17	0	0	0	0	0.27
Osmanski, Austin	PBO	68	3	14	17	0	0	0	0	0.25
Okhotyuk, Nikita	OTT	56	2	15	17	1	0	1	0	0.30
Roberts, Zachary	GUE	51	9	7	16	0	0	2	0	0.31
Baker, Dawson	KGN	62	8	8	16	0	0	0	0	0.26
Johnston, Alex	SSM	56	7	9	16	0	0	3	2	0.29
Katic, Danny	SAG	42	6	10	16	0	0	0	1	0.38
Collins, Ty	GUE	48	6	10	16	1	0	0	2	0.33
Thompson, Jack	SBY	52	6	10	16	0	0	1	1	0.31
McLean, Cullen	SSM	54	6	10	16	1	0	1	0	0.30
LeGuerrier, Jacob	SSM	68	6	10	16	1	0	0	1	0.24
Wells, Ryan	MISS	61	3	13	16	1	0	1	0	0.26
Ennis, William	OSH	67	3	13	16	0	0	0	0	0.24
Turko, Alex	LDN	68	3	13	16	1	0	0	1	0.24
Aguanno, Anthony	KGN	57	2	14	16	1	0	0	0	0.28
Cameron, Christopher	BAR	66	0	16	16	0	0	0	0	0.24
Rhodes, Sam	BAR	67	9	6	15	2	0	1	1	0.22
Denault, Chad	PBO	68	9	6	15	1	0	1	3	0.22
Campbell, Chase	WSR	64	8	7	15	2	0	0	0	0.23
Yule, Quinn	OTT	54	7	8	15	2	0	1	1	0.28
Varga, Adam	MISS	63	6	9	15	1	0	2	0	0.24
Langdon, Isaac	KIT	58	5	10	15	2	0	1	0	0.26
Kammerer, Colton	SAR	60	5	10	15	1	0	0	0	0.25
McDonald, Kyle	WSR	39	4	11	15	1	0	0	0	0.38
Bukac, Daniel	NIAG	54	4	11	15	0	0	4	0	0.28
D'Amato, Daniel	ER	63	4	11	15	1	0	0	0	0.24
Guest, Eric	KIT	45	3	12	15	0	0	0	0	0.33
Perrott, Andrew	OS	53	3	12	15	1	0	0	0	0.28
Tabak, Anthony	SAR	60	3	12	15	0	0	0	0	0.25
McNamara, Matt	PBO	62	3	12	15	0	0	0	1	0.24
Serensits, Emmett	SBY	63	3	12	15	0	0	0	1	0.24
Wale, Holden	SSM	65	3	12	15	0	0	0	0	0.23
Schaefer, Johnathon	NIAG	62	2	13	15	2	0	0	0	0.24
Webb, Reilly	SAG	62	1	14	15	0	0	0	0	0.24
Chayka, Daniil	GUE	56	5	9	14	0	0	1	0	0.25
Piercey, Riley	BAR	60	3	11	14	0	0	0	0	0.23
