Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Lajeunesse, Troy	SAR	65	18	22	40	0	0	2	1	0.62
Castleman, Oliver	NIAG	66	18	22	40	4	0	4	0	0.61
Sambrook, Jordan	ER	61	15	25	40	2	0	0	2	0.66
Brown, Logan	WSR	35	14	26	40	3	0	2	4	1.14
Hoefenmayer, Noel	OTT	62	14	26	40	0	0	0	3	0.65
Kohn, Mason	OSH	67	11	29	40	3	0	3	1	0.60
McEwan, James	GUE	58	19	20	39	3	0	1	2	0.67
Clark, Everett	FLNT	65	16	23	39	0	0	3	2	0.60
Michnac, Albert	GUE	65	15	24	39	2	0	2	0	0.60
Crawford, Marcus	SAG	60	6	33	39	2	0	0	0	0.65
Gleason, Benjamin	HAM	66	6	33	39	0	0	2	1	0.59
Rasanen, Eemeli	KGN	66	6	33	39	1	0	2	1	0.59
Maksimov, Kirill	NIAG	66	21	17	38	2	0	2	2	0.58
Magwood, Zachary	BAR	64	19	19	38	1	1	2	2	0.59
Nichol, Ted	KGN	68	18	20	38	0	0	7	1	0.56
Nattinen, Julius	WSR	51	13	25	38	0	0	2	0	0.75
Di Perna, Dylan	KIT	65	9	29	38	1	0	1	0	0.58
Durzi, Sean	OS	60	2	36	38	0	0	1	0	0.63
Brazeau, Justin	NB	67	22	15	37	2	0	3	0	0.55
Miller, David	SSM	68	22	15	37	4	1	3	3	0.54
MacDonald, Owen	LDN	61	16	21	37	1	0	5	2	0.61
Day, Sean	WSR	63	15	22	37	2	1	1	1	0.59
McFadden, Garrett	GUE	58	12	25	37	1	1	2	3	0.64
Lemcke, Justin	HAM	66	9	28	37	1	0	0	0	0.56
LeBlanc, Stefan	MISS	66	7	30	37	1	1	2	1	0.56
Radke, Roy	BAR	45	23	13	36	2	1	6	0	0.80
Schnarr, Nate	GUE	54	18	18	36	1	0	1	1	0.67
Jones, Max	LDN	33	17	19	36	1	0	2	2	1.09
Yakimowicz, Chandler	SBY	59	9	27	36	1	0	0	2	0.61
Bouramman, Gustav	SSM	66	2	34	36	0	0	1	0	0.55
Lindo, Jaden	SAR	58	21	14	35	2	0	5	1	0.60
Sproviero, Franco	SAR	68	14	21	35	1	0	0	1	0.51
Kreis, Matthew	SAG	65	11	24	35	1	0	3	1	0.54
Thilander, Adam	NB	64	6	29	35	1	0	1	0	0.55
Formenton, Alex	LDN	65	16	18	34	1	0	4	2	0.52
Speers, Blake	SSM	30	15	19	34	1	0	1	2	1.13
DiGiacinto, Cristiano	WSR	47	13	21	34	2	0	4	0	0.72
Barron, Travis	OTT	59	13	21	34	2	0	1	1	0.58
Peters, Alex	FLNT	68	10	24	34	2	0	2	0	0.50
