Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Douglas, Chris	RD	72	9	7	16	2	0	1	0	0.22
Gable, Kole	SC	68	6	10	16	1	0	0	0	0.24
Krebs, Dakota	CGY	69	4	12	16	1	0	0	0	0.23
Hamaliuk, Dalton	SPO	71	4	12	16	0	0	0	1	0.23
Korczak, Kaedan	KEL	67	3	13	16	0	0	1	0	0.24
Bishop, Anthony	TC	66	0	16	16	0	0	0	0	0.24
Jeri-Leon, Keltie	LET	54	8	7	15	0	0	2	1	0.28
King, Michael	KTN	56	8	7	15	0	0	2	0	0.27
Klatt, Branden	MJ	69	7	8	15	0	0	2	1	0.22
Fasko-Rudas, Martin	EVT	70	6	9	15	3	0	2	0	0.21
Buziak, Braydon	VIC	66	5	10	15	2	0	2	1	0.23
MacEachern, Conor	POR	62	3	12	15	1	0	0	0	0.24
Jarratt, Ralph	VIC	53	2	13	15	0	0	0	0	0.28
Popowich, Tyler	VAN	64	8	6	14	1	0	1	0	0.22
Bettens, Rylan	BDN	49	7	7	14	1	0	0	1	0.29
Kolle, Ty	POR	60	7	7	14	2	0	1	0	0.23
